Username,Password,Userid,Friends,,,Posts,,
ArthurHermione,12345678,101,FilchVernon,MalfoyGilderoy,KreacherParvati,Ron Weasley: Accidentally turned my pet rat into a cup. Oops! #MagicalMishaps #TransfigurationTroubles,Fred and George Weasley - Opening a new joke shop in Diagon Alley! Weasley's Wizard Wheezes - pranks for all occasions! #MischiefManaged,Pansy Parkinson: Started a fashion line inspired by Death Eater masks. It's all the rage in Slytherin. #DarkMarkCouture
BartyPetunia,98765432,102,SiriusTonks,,,Rita Skeeter - Latest scoop: Harry Potter seen in Hogsmeade with a mysterious creature. Exclusive details in the Daily Prophet! #GossipQueen,@Kreacher_TheElf: Kreacher is busy cleaning Grimmauld Place. Master Black would be proud! #HouseElfDuty #KreacherTheHouseElf,Viktor Krum: Training for the next Quidditch World Cup. Ready to catch the Golden Snitch! #SeekerSkills #Durmstrang
BellatrixHarry,12345678,103,FredNeville,VernonLupin,MalfoySirius,Harry Potter: Just defeated another dark wizard. NBD. #AurorLife #NoMugglesWereHarmed,@FredAndGeorge: Who needs a love potion when you've got our latest product Heartbreaker Jellybeans? Grab a pack and wreak havoc! #PrankstersUnleashed #FredAndGeorge,Hagrid - New magical creatures in Care of Magical Creatures class today! Buckbeak says hi. #CreatureComforts
BellatrixSirius,98765432,104,DumbledoreKarkaroff,DudleySnape,GeorgeHarry,Dobby - Dobby is a free elf! No more serving the Malfoys. What's next for Dobby? #FreeElf,Professor Snape: Brewed a perfect potion today. Expect nothing less. #PotionsMaster #HalfBloodPrince,Fred Weasley: Just pranked Snape with some extendable ears. Never gets old! #WeasleyWizardWheezes #MaraudersMap
CedricArthur,12345678,105,FilchPetunia,MalfoyGilderoy,FleurRon,Fred Weasley: Just pranked Snape with some extendable ears. Never gets old! #WeasleyWizardWheezes #MaraudersMap,Peeves - Causing chaos in the Great Hall again! Who needs order anyway? #PeevesPranks,Professor Snape: Brewed a perfect potion today. Expect nothing less. #PotionsMaster #HalfBloodPrince
CedricBarty,98765432,106,CedricDraco,NaginiLockhart,SiriusMyrtle,Draco Malfoy - Just got a Nimbus 2001. Father says it's the best broomstick in the wizarding world. Jealous much Potter? #PurebloodPerks,@Kreacher_TheElf: Kreacher is busy cleaning Grimmauld Place. Master Black would be proud! #HouseElfDuty #KreacherTheHouseElf,@LunaLovegood: Just spotted a Crumple-Horned Snorkack on my way to class. They're real you know. #LunaLogic #BelieveInMagic
CedricDraco,12345678,107,CedricArthur,LupinLavender,,@MoaningMyrtle: Ugh another day haunting the bathroom. Can't a ghost catch a break? #MoaningMyrtle #GhostProblems,Hagrid: Just adopted a new Blast-Ended Skrewt. Anyone have tips on creature care? #MagicalMenagerie #HagridsHut,Hagrid: Just adopted a new Blast-Ended Skrewt. Anyone have tips on creature care? #MagicalMenagerie #HagridsHut
CedricVernon,98765432,108,MalfoyGilderoy,SiriusLockhart,FredNeville,Hagrid - New magical creatures in Care of Magical Creatures class today! Buckbeak says hi. #CreatureComforts,Professor McGonagall - Reminder to all students: Transfiguration is not to be used on fellow classmates even if they annoy you. #TransfigurationTroubles,Cedric Diggory - Training hard for the Triwizard Tournament. It's not just about winning; it's about doing your best! #TriwizardPrep
DracoBellatrix,12345678,109,HagridHarry,SiriusLockhart,ArthurHermione,Nearly Headless Nick - Celebrating 500 years of nearly headlessness! A milestone in the afterlife. #NearlyHeadless500,@HogwartsExp: All aboard the Hogwarts Express! Next stop: Magic and Adventure. #BackToHogwarts #TrainRide,@Dobby_TheElf: Dobby is a free elf! Enjoying the freedom and maybe some socks. #FreeElf #DobbyIsHappy
DracoKarkaroff,98765432,110,NaginiLockhart,MalfoyVoldemort,,Professor McGonagall: Another year at Hogwarts and I've already turned into a cat twice. #AnimagusProblems #TransfigurationTeacher,@MagicalMenagerie: Just got a new delivery of magical creatures! From Pygmy Puffs to Blast-Ended Skrewts we've got it all. #MagicalMenagerie #CreatureCraze,Sirius Black: Just escaped Azkaban. Again. #PrisonerNoMore #Padfoot
